Nom,Profession,Âge,Genre,Orientation,MBTI
Emmanuel Macron,Président,47,H,Hétéro,ENTJ
Greta Thunberg,Militante,22,F,Asexuelle,INTJ
Kylian Mbappé,Footballeur,26,H,Hétéro,ESTP
Elliot Page,Acteur,38,H,Gay,INFP
Sam Smith,Chanteur,33,Autre,Queer,ISFP
Serena Williams,Tenniswoman,44,F,Hétéro,ESTJ
Rosalía,Chanteuse,32,F,Bi,ENFP
Troye Sivan,Chanteur,30,H,Gay,INFP
Megan Rapinoe,Footballeuse,40,F,Lesbienne,ENFJ
Bill Gates,Entrepreneur,69,H,Hétéro,INTJ
Tim Cook,CEO,64,H,Gay,ISTJ
Zendaya,Actrice,28,F,Hétéro,ENFP
Rihanna,Chanteuse,37,F,Bi,ENTP
Keanu Reeves,Acteur,61,H,Hétéro,INFJ
Emma Watson,Actrice,35,F,Hétéro,INFJ
Jordan Bardella,Politicien,30,H,Hétéro,ENTJ
Usain Bolt,Athlète,39,H,Hétéro,ESFP
Adele,Chanteuse,37,F,Hétéro,ISFJ
Cara Delevingne,Mannequin,33,F,Pan,ENFP
Tom Daley,Plongeur,31,H,Gay,ESFJ
Billie Eilish,Chanteuse,23,F,Bi,ISFP
Cristiano Ronaldo,Footballeur,40,H,Hétéro,ESTJ
Lewis Hamilton,Pilote F1,40,H,Hétéro,ISTP
Angelina Jolie,Actrice,50,F,Bi,ENFJ
David Beckham,Footballeur,50,H,Hétéro,ESFJ
Ellen DeGeneres,Animatrice,67,F,Lesbienne,ENFP
Elon Musk,Entrepreneur,53,H,Hétéro,INTJ
Florence Pugh,Actrice,29,F,Bi,ISFP
Malala Yousafzai,Activiste,28,F,Hétéro,INFJ
Benoît Paire,Tennisman,36,H,Hétéro,ENTP
Taylor Swift,Chanteuse,34,F,Hétéro,INFJ
Greta Lee,Actrice,42,F,Bi,INFP
Antoine Dupont,Rugbyman,28,H,Hétéro,ISTJ
Sophie Turner,Actrice,29,F,Bi,ENFP
Jaden Smith,Artiste,27,H,Pan,INFP
Mika,Chanteur,41,H,Gay,ENFP
Greta Gerwig,Réalisatrice,42,F,Hétéro,INTP
Neymar Jr,Footballeur,33,H,Hétéro,ESFP
Shakira,Chanteuse,48,F,Hétéro,ESFJ
Paul Pogba,Footballeur,32,H,Hétéro,ESFP
Doja Cat,Rappeuse,29,F,Bi,ENTP
Greta Van Fleet,Musicien,28,H,Bi,INFP
Christine and the Queens,Chanteur,37,Autre,Pan,INFP
Barack Obama,Politicien,64,H,Hétéro,ENFJ
Esmé Bianco,Actrice,43,F,Bi,INFJ
Timothée Chalamet,Acteur,29,H,Hétéro,INFP
Halsey,Chanteuse,31,F,Bi,ENFP
Omar Sy,Acteur,47,H,Hétéro,ESFJ
Yusra Mardini,Nageuse,27,F,Hétéro,ISFJ
Greta Fernández,Actrice,29,F,Bi,INFP
