Nom;Profession;Âge;Genre;Orientation;MBTI;Sociabilité;Créativité;Organisation;Rationalité;Empathie;Ambition
Emmanuel Macron;Président;47;H;Hétéro;ENTJ;4;3;5;5;3;5
Greta Thunberg;Militante;22;F;Asexuelle;INTJ;2;4;5;5;4;5
Kylian Mbappé;Footballeur;26;H;Hétéro;ESTP;5;3;4;3;3;5
Elliot Page;Acteur;38;H;Gay;INFP;3;5;3;4;5;4
Sam Smith;Chanteur;33;Autre;Queer;ISFP;3;5;3;3;5;4
Serena Williams;Tenniswoman;44;F;Hétéro;ESTJ;5;3;5;4;4;5
Rosalía;Chanteuse;32;F;Bi;ENFP;5;5;3;3;4;4
Troye Sivan;Chanteur;30;H;Gay;INFP;4;5;2;3;5;4
Megan Rapinoe;Footballeuse;40;F;Lesbienne;ENFJ;5;4;4;3;5;4
Bill Gates;Entrepreneur;69;H;Hétéro;INTJ;3;4;5;5;3;5
Tim Cook;CEO;64;H;Gay;ISTJ;3;3;5;5;3;5
Zendaya;Actrice;28;F;Hétéro;ENFP;5;5;3;3;5;4
Rihanna;Chanteuse;37;F;Bi;ENTP;5;5;3;3;4;5
Keanu Reeves;Acteur;61;H;Hétéro;INFJ;2;4;3;4;5;3
Emma Watson;Actrice;35;F;Hétéro;INFJ;3;4;4;4;5;4
Jordan Bardella;Politicien;30;H;Hétéro;ENTJ;4;3;5;5;2;5
Usain Bolt;Athlète;39;H;Hétéro;ESFP;5;3;4;3;4;5
Adele;Chanteuse;37;F;Hétéro;ISFJ;4;4;5;4;5;4
Cara Delevingne;Mannequin;33;F;Pan;ENFP;5;5;2;3;4;4
Tom Daley;Plongeur;31;H;Gay;ESFJ;5;4;4;3;5;4
Billie Eilish;Chanteuse;23;F;Bi;ISFP;3;5;2;3;4;4
Cristiano Ronaldo;Footballeur;40;H;Hétéro;ESTJ;5;3;5;4;2;5
Lewis Hamilton;Pilote F1;40;H;Hétéro;ISTP;4;3;5;4;4;5
Angelina Jolie;Actrice;50;F;Bi;ENFJ;5;4;3;3;5;4
David Beckham;Footballeur;50;H;Hétéro;ESFJ;5;3;4;3;4;4
Ellen DeGeneres;Animatrice;67;F;Lesbienne;ENFP;5;4;3;3;5;4
Elon Musk;Entrepreneur;53;H;Hétéro;INTJ;2;5;3;5;2;5
Florence Pugh;Actrice;29;F;Bi;ISFP;4;4;3;3;5;4
Malala Yousafzai;Activiste;28;F;Hétéro;INFJ;4;4;5;5;5;4
Benoît Paire;Tennisman;36;H;Hétéro;ENTP;4;4;2;3;3;3
Taylor Swift;Chanteuse;34;F;Hétéro;INFJ;4;5;4;3;5;5
Greta Lee;Actrice;42;F;Bi;INFP;4;5;3;4;5;4
Antoine Dupont;Rugbyman;28;H;Hétéro;ISTJ;4;3;5;4;3;5
Sophie Turner;Actrice;29;F;Bi;ENFP;5;4;3;3;4;4
Jaden Smith;Artiste;27;H;Pan;INFP;4;5;2;3;4;4
Mika;Chanteur;41;H;Gay;ENFP;5;5;3;3;5;4
Greta Gerwig;Réalisatrice;42;F;Hétéro;INTP;3;5;4;4;4;5
Neymar Jr;Footballeur;33;H;Hétéro;ESFP;5;3;3;2;3;4
Shakira;Chanteuse;48;F;Hétéro;ESFJ;5;4;4;3;5;5
Paul Pogba;Footballeur;32;H;Hétéro;ESFP;5;3;4;3;4;5
Doja Cat;Rappeuse;29;F;Bi;ENTP;5;5;2;3;3;4
Greta Van Fleet;Musicien;28;H;Bi;INFP;3;5;3;3;4;4
Christine and the Queens;Chanteur;37;Autre;Pan;INFP;4;5;3;4;5;4
Barack Obama;Politicien;64;H;Hétéro;ENFJ;5;4;5;5;5;5
Esmé Bianco;Actrice;43;F;Bi;INFJ;4;4;3;4;5;4
Timothée Chalamet;Acteur;29;H;Hétéro;INFP;4;5;2;3;5;4
Halsey;Chanteuse;31;F;Bi;ENFP;5;5;3;3;5;4
Omar Sy;Acteur;47;H;Hétéro;ESFJ;5;4;4;4;5;5
Yusra Mardini;Nageuse;27;F;Hétéro;ISFJ;4;4;5;4;5;4
Greta Fernández;Actrice;29;F;Bi;INFP;4;5;3;3;5;4
